Date,Park,Gallatin,Visitors,Yellowstone
Jan-12,4896,42853,24766,75079
Feb-12,4940,42854,27752,75026
Mar-12,4996,42966,20248,76130
Apr-12,5189,43420,29056,77511
May-12,5525,44640,268251,78639
Jun-12,5989,45736,671825,78857
Jul-12,5780,45916,888335,77729
Aug-12,5828,45624,780286,78348
Sep-12,5682,46404,527610,79078
Oct-12,5535,45997,177069,79006
Nov-12,5200,45095,14059,78804
Dec-12,5209,45460,18472,78717
Jan-13,5010,44750,24699,75651
Feb-13,4975,45044,31053,76052
Mar-13,5042,45353,18613,76571
Apr-13,5129,46000,24606,78300
May-13,5489,47139,293250,80075
Jun-13,5892,48151,624429,78605
Jul-13,5761,48836,812212,77117
Aug-13,5736,48793,725136,77694
Sep-13,5712,49603,557925,78047
Oct-13,5533,48709,47560,78611
Nov-13,5232,48062,11169,78548
Dec-13,5211,48600,17378,78428
Jan-14,5036,47155,26778,76013
Feb-14,4967,47330,28233,76322
Mar-14,4996,47442,18778,76672
Apr-14,5131,47841,31356,78268
May-14,5505,49238,310039,79560
Jun-14,5946,50608,669642,79743
Jul-14,5860,50983,858856,78611
Aug-14,5831,50563,773357,79187
Sep-14,5698,51432,571764,79520
Oct-14,5540,50211,194804,79637
Nov-14,5229,49457,11537,79132
Dec-14,5225,50103,18340,79694
Jan-15,5192,49330,28091,78058
Feb-15,5191,49695,34343,78422
Mar-15,5279,49987,22989,79117
Apr-15,5451,50494,46600,80385
May-15,5786,51785,386064,81221
Jun-15,6271,53296,780768,81654
Jul-15,6074,53703,980702,80943
Aug-15,6072,53207,854408,81107
Sep-15,5981,54111,680213,81533
Oct-15,5916,53284,252013,81732
Nov-15,5573,52596,11049,81230
Dec-15,5530,53219,20470,81417
Jan-16,5336,51908,30621,78509
Feb-16,5288,52159,36327,79199
Mar-16,5368,52361,22924,79882
Apr-16,5594,53259,59253,81206
May-16,5890,54027,444630,82121
Jun-16,6389,55881,838316,82239
Jul-16,6156,56290,995917,81206
Aug-16,6173,55920,841036,81382
Sep-16,6012,56516,701754,82305
Oct-16,5974,55441,242004,81443
Nov-16,5659,54616,24710,81336
Dec-16,5587,55383,19685,80705
Jan-17,5449,54262,29518,79205
Feb-17,5533,54444,32275,79531
Mar-17,5573,54996,23897,80203
Apr-17,5761,55664,45160,81592
May-17,6057,56304,419635,82870
Jun-17,6576,58201,803652,82661
Jul-17,6355,58135,962404,81348
Aug-17,6368,57555,916166,81681
Sep-17,6298,58252,640068,82030
Oct-17,6150,57712,211987,81403
Nov-17,5825,56908,10468,81183
Dec-17,5779,57118,21294,81395
Jan-18,5618,56289,29179,79186
Feb-18,5705,56573,34263,79421
Mar-18,5715,56655,22741,80060
Apr-18,5825,57117,37766,82025
May-18,6218,58173,446875,83212
Jun-18,6680,60301,810884,82494
Jul-18,6534,60026,940563,81312
Aug-18,6575,59668,813970,82129
Sep-18,6519,60199,724454,82321
Oct-18,6375,59882,218076,82402
Nov-18,6031,59154,13849,82526
Dec-18,5973,59737,22380,82532
Jan-19,5719,58352,33896,80383
Feb-19,5771,58887,31650,79908
Mar-19,5800,58838,28695,80388
Apr-19,6009,59331,48150,81626
May-19,6413,60087,434385,82515
Jun-19,6792,61939,781853,82905
Jul-19,6560,62105,936062,81841
Aug-19,6697,61640,820006,82611
Sep-19,6565,62125,693118,82781
Oct-19,6461,61451,171339,82536
Nov-19,6147,60800,15628,82901
Dec-19,6064,61503,25506,82869
Jan-20,5868,60183,25234,80962
Feb-20,5857,60499,41880,81426
Mar-20,5802,60149,32516,81626
Apr-20,4815,51148,0,72991
May-20,5317,55720,46219,77885
Jun-20,6007,58718,573205,79851
Jul-20,5940,59257,955645,79729
Aug-20,6116,59733,881829,80489
Sep-20,6087,61200,837114,81208
Oct-20,6102,60837,359889,82232
Nov-20,5856,59989,24132,81483
Dec-20,5812,60834,28643,81690
Jan-21,5629,59968,35338,79894
Feb-21,5726,60859,36897,80051
Mar-21,5748,61633,35611,80985
Apr-21,6004,62485,67508,82320
May-21,6422,63575,473799,83247
Jun-21,6786,65068,938845,83803
Jul-21,6632,65061,1080767,82964
Aug-21,6717,64344,921844,82823
Sep-21,6541,65118,882078,83224
Oct-21,6401,65280,316662,83696
Nov-21,6120,64477,33144,83696
Dec-21,6155,65374,37749,83838

